Time Format:
	[Tag, Data*], Tag \in {RANGE, INSTANT, PERIOD, UNK}
		[RANGE, <begin_time, end_time>]
		[INSTANT, <time>]
		[PERIOD, <year>, <month>, <week>, <day>]
			e.g. [PERIOD, 1,4,0,1] is a year, 4 months, and a day
			e.g. [PERIOD, 1,0,2,1] is a year, 2 weeks, and a day
			     [PERIOD, 0,1,3,0] is a month and 3 weeks (this shouldn't happen)
		[UNK, <original_expression>]
	Special Characters:
		x: "unbound time," usually in part of a range to denote positive and
		   negative infinity. These correspond to PAST_REF and FUTURE_REF when seen
		NOW: "now," denoting the time of publication; used in PAST_REF, FUTURE_REF,
			and PRESENT_REF
		concretely:
			[RANGE,x,NOW] => PAST_REF
			[RANGE,NOW,x] => FUTURE_REF
			[INSTANT,NOW] => PRESENT_REF


Timex ID | Sentence ID | Document ID | Document Filename | Document Publication Time | Timex Value | Timex String (tokenized) | Sentence String (raw)
10|24|4|./wsj_0344_orig.tml.xml|1989-11-01T00:00:00.000000000|[INSTANT,1989-09-30T00:00:00+00:00]|Sept. 30| Price Stern Sloan Inc. said  it  hired  an investment banking firm  to assist  in  evaluating  restructuring or merger alternatives and  reported  a net  loss  of  $8.1 million , or  $2.14  a share,  for the third quarter ended Sept. 30 .
9|24|4|./wsj_0344_orig.tml.xml|1989-11-01T00:00:00.000000000|[RANGE,1989-07-01T00:00:00+00:00,1989-10-01T00:00:00+00:00]|the third quarter| Price Stern Sloan Inc. said  it  hired  an investment banking firm  to assist  in  evaluating  restructuring or merger alternatives and  reported  a net  loss  of  $8.1 million , or  $2.14  a share,  for the third quarter ended Sept. 30 .
11|25|4|./wsj_0344_orig.tml.xml|1989-11-01T00:00:00.000000000|[RANGE,1988-07-01T00:00:00+00:00,1988-10-01T00:00:00+00:00]|the corresponding period last year| These results compare with net income of  $1.8 million , or  44 cents  a share, for  the corresponding period last year .
12|26|4|./wsj_0344_orig.tml.xml|1989-11-01T00:00:00.000000000|[RANGE,1989-07-01T00:00:00+00:00,1989-10-01T00:00:00+00:00]|This quarter| This quarter 's loss  includes pretax  charges  of  $4.9 million  on the proposed discontinuation of the company's troubled British subsidiary, and  $3.7 million  of other write-offs the company  said  were non-recurring and principally related to inventory, publishing advances and pre-publication costs.
14|29|4|./wsj_0344_orig.tml.xml|1989-11-01T00:00:00.000000000|[RANGE,1988-01-01T00:00:00+00:00,1989-01-01T00:00:00+00:00]|last year| Net sales for  this year's third quarter  were  $14 million , down  from $21.4 million last year .
13|29|4|./wsj_0344_orig.tml.xml|1989-11-01T00:00:00.000000000|[RANGE,1989-07-01T00:00:00+00:00,1989-10-01T00:00:00+00:00]|this year's third quarter| Net sales for  this year's third quarter  were  $14 million , down  from $21.4 million last year .
15|31|4|./wsj_0344_orig.tml.xml|1989-11-01T00:00:00.000000000|[RANGE,1988-07-01T00:00:00+00:00,1988-10-01T00:00:00+00:00]|last year's quarter| U.K. sales  for last year's quarter  were  about  $3 million .
16|32|5|./wsj_0161_orig.tml.xml|1989-11-02T00:00:00.000000000|[RANGE,1989-07-01T00:00:00+00:00,1989-10-01T00:00:00+00:00]|third - quarter| Hadson Corp. said  it  expects to report  a  third-quarter  net  loss  of  $17 million to $19 million  because of special reserves and continued low natural-gas prices.
17|36|5|./wsj_0161_orig.tml.xml|1989-11-02T00:00:00.000000000|[RANGE,1988-07-01T00:00:00+00:00,1988-10-01T00:00:00+00:00]|A year earlier| A year earlier , net  income  was  $2.1 million , or  six cents  a share, on revenue of  $169.9 million .
19|37|6|./wsj_0918_orig.tml.xml|1989-10-26T00:00:00.000000000|[RANGE,1988-10-01T00:00:00+00:00,1988-11-01T00:00:00+00:00]|a year ago| Du Pont Co. reported  that  third-quarter  profit  grew  a robust  19% from a year ago  on the strength of the company's  operations  in various chemicals and fibers, and in petroleum.
18|37|6|./wsj_0918_orig.tml.xml|1989-10-26T00:00:00.000000000|[RANGE,1989-07-01T00:00:00+00:00,1989-10-01T00:00:00+00:00]|third - quarter| Du Pont Co. reported  that  third-quarter  profit  grew  a robust  19% from a year ago  on the strength of the company's  operations  in various chemicals and fibers, and in petroleum.
20|42|6|./wsj_0918_orig.tml.xml|1989-10-26T00:00:00.000000000|[RANGE,1988-07-01T00:00:00+00:00,1988-10-01T00:00:00+00:00]|the year - earlier period| In the year-earlier period , the company  earned $461 million , or  $1.91  a share.
21|43|6|./wsj_0918_orig.tml.xml|1989-10-26T00:00:00.000000000|[RANGE,1989-07-01T00:00:00+00:00,1989-10-01T00:00:00+00:00]|the latest quarter| Sales  in the latest quarter  were  $8.59 billion , up  9.4% from $7.85 billion .
22|44|6|./wsj_0918_orig.tml.xml|1989-10-26T00:00:00.000000000|[RANGE,1989-01-01T00:00:00+00:00,1990-01-01T00:00:00+00:00]|this year| The dividend  increase  was  Du Pont 's second  this year , an  affirmation  of statements by top executives that they  intend to increase  rewards to shareholders.
25|45|6|./wsj_0918_orig.tml.xml|1989-10-26T00:00:00.000000000|[RANGE,1989-04-01T00:00:00+00:00,1989-05-01T00:00:00+00:00]|April| "We have  n't benefited  the shareholder as much as we  need  to,"  said Edgar Woolard Jr.,  Du Pont 's chairman and chief executive officer , in an  interview several months before  he  entered  his  current position in April .
24|45|6|./wsj_0918_orig.tml.xml|1989-10-26T00:00:00.000000000|[INSTANT,NOW]|current| "We have  n't benefited  the shareholder as much as we  need  to,"  said Edgar Woolard Jr.,  Du Pont 's chairman and chief executive officer , in an  interview several months before  he  entered  his  current position in April .
23|45|6|./wsj_0918_orig.tml.xml|1989-10-26T00:00:00.000000000|[UNK,PXXM]|several months| "We have  n't benefited  the shareholder as much as we  need  to,"  said Edgar Woolard Jr.,  Du Pont 's chairman and chief executive officer , in an  interview several months before  he  entered  his  current position in April .
26|47|6|./wsj_0918_orig.tml.xml|1989-10-26T00:00:00.000000000|[PERIOD,1,0,0,0]|a year| A spokesman for  Seagram , the Montreal wine and spirits concern controlled by the  Bronfman  family,  said  the company will  post  additional pretax profit of about  $33 million a year  because of the additional  Du Pont  dividends.
27|49|6|./wsj_0918_orig.tml.xml|1989-10-26T00:00:00.000000000|[INSTANT,1989-10-25T00:00:00+00:00]|yesterday| Du Pont 's stock  rose $2.50  a share  to close  at  $117.375  in  New York Stock Exchange  composite trading  yesterday .
29|51|6|./wsj_0918_orig.tml.xml|1989-10-26T00:00:00.000000000|[PERIOD,1,0,0,0]|a year| Leading  the gains for  Du Pont in the latest quarter  was its industrial products segment, where profit  soared to $155 million from $99 million a year earlier .
28|51|6|./wsj_0918_orig.tml.xml|1989-10-26T00:00:00.000000000|[RANGE,1989-07-01T00:00:00+00:00,1989-10-01T00:00:00+00:00]|the latest quarter| Leading  the gains for  Du Pont in the latest quarter  was its industrial products segment, where profit  soared to $155 million from $99 million a year earlier .
30|55|6|./wsj_0918_orig.tml.xml|1989-10-26T00:00:00.000000000|[RANGE,1988-10-01T00:00:00+00:00,1988-11-01T00:00:00+00:00]|a year ago| Profit  climbed to $98 million from $71 million  in the petroleum segment,  as Du Pont 's  Conoco Inc.  oil company was  helped  by crude oil  prices  higher than  a year ago  and by higher natural gas  prices  and volume.
32|57|6|./wsj_0918_orig.tml.xml|1989-10-26T00:00:00.000000000|[RANGE,1989-07-01T00:00:00+00:00,1989-10-01T00:00:00+00:00]|the third quarter| A spokesman  said  herbicide  use  in some areas of the  U.S.  was  delayed earlier in the year  by heavy  rains , thus  increasing  sales  in the third quarter .
31|57|6|./wsj_0918_orig.tml.xml|1989-10-26T00:00:00.000000000|[RANGE,1989-01-01T00:00:00+00:00,1990-01-01T00:00:00+00:00]|earlier in the year| A spokesman  said  herbicide  use  in some areas of the  U.S.  was  delayed earlier in the year  by heavy  rains , thus  increasing  sales  in the third quarter .
33|59|6|./wsj_0918_orig.tml.xml|1989-10-26T00:00:00.000000000|[RANGE,1989-07-01T00:00:00+00:00,1989-10-01T00:00:00+00:00]|the quarter| Two  segments  posted  lower  earnings for the quarter .
35|62|6|./wsj_0918_orig.tml.xml|1989-10-26T00:00:00.000000000|[PERIOD,1,0,0,0]|a year| For the  nine  months ,  Du Pont earned $2 billion , or  $8.46  a share, up  18% from $1.69 billion , or  $7.03  a share,  a year earlier .
34|62|6|./wsj_0918_orig.tml.xml|1989-10-26T00:00:00.000000000|[PERIOD,0,9,0,0]|the nine months| For the  nine  months ,  Du Pont earned $2 billion , or  $8.46  a share, up  18% from $1.69 billion , or  $7.03  a share,  a year earlier .
37|64|6|./wsj_0918_orig.tml.xml|1989-10-26T00:00:00.000000000|[INSTANT,1989-11-15T00:00:00+00:00]|Nov. 15| The increased dividend will be  paid Dec. 14  to holders of  record Nov. 15 .
36|64|6|./wsj_0918_orig.tml.xml|1989-10-26T00:00:00.000000000|[INSTANT,1989-12-14T00:00:00+00:00]|Dec. 14| The increased dividend will be  paid Dec. 14  to holders of  record Nov. 15 .
39|65|6|./wsj_0918_orig.tml.xml|1989-10-26T00:00:00.000000000|[INSTANT,1989-12-21T00:00:00+00:00]|Dec. 21| The stock  split , which is  subject  to holder  approval ,  would  be  paid  on a  still unspecified  date  in January  to holders of  record Dec. 21 .
38|65|6|./wsj_0918_orig.tml.xml|1989-10-26T00:00:00.000000000|[UNK,1990-01-XX]|January| The stock  split , which is  subject  to holder  approval ,  would  be  paid  on a  still unspecified  date  in January  to holders of  record Dec. 21 .
40|66|7|./wsj_0695_orig.tml.xml|1989-10-27T00:00:00.000000000|[RANGE,1989-10-01T00:00:00+00:00,1989-11-01T00:00:00+00:00]|this month| A group of investors led by  Giant Group Ltd.  and its  chairman, Burt Sugarman ,  said  it  filed  with federal antitrust regulators  for clearance to buy  more than  50%  of the stock of  Rally's Inc. , a fast-food company based in  Louisville ,  Ky. 

   Rally 's operates and franchises  about 160  fast-food restaurants throughout the U.S. 
The company  went  public  earlier this month ,  offering 1,745,000  shares of common stock at  $15  a share.
41|73|7|./wsj_0695_orig.tml.xml|1989-10-27T00:00:00.000000000|[INSTANT,1989-10-26T00:00:00+00:00]|yesterday| Rally  officials were n't available to comment late yesterday .
43|74|7|./wsj_0695_orig.tml.xml|1989-10-27T00:00:00.000000000|[INSTANT,1989-07-02T00:00:00+00:00]|July 2| For the year ended July 2 ,  Rally had  net income of  $2.4 million , or  34 cents  a share, on revenue of  $52.9 million .
42|74|7|./wsj_0695_orig.tml.xml|1989-10-27T00:00:00.000000000|[PERIOD,1,0,0,0]|the year| For the year ended July 2 ,  Rally had  net income of  $2.4 million , or  34 cents  a share, on revenue of  $52.9 million .
45|75|8|./wsj_0762_orig.tml.xml|1989-10-27T00:00:00.000000000|[INSTANT,1989-11-10T00:00:00+00:00]|Nov. 10| CAMBREX Corp. ,  Bayonne ,  N.J. ,  declared  its initial quarterly of  five cents  a share,  payable Dec. 1  to stock of  record Nov. 10 .
44|75|8|./wsj_0762_orig.tml.xml|1989-10-27T00:00:00.000000000|[INSTANT,1989-12-01T00:00:00+00:00]|Dec. 1| CAMBREX Corp. ,  Bayonne ,  N.J. ,  declared  its initial quarterly of  five cents  a share,  payable Dec. 1  to stock of  record Nov. 10 .
47|78|8|./wsj_0762_orig.tml.xml|1989-10-27T00:00:00.000000000|[RANGE,1990-01-01T00:00:00+00:00,1991-01-01T00:00:00+00:00]|1990 and beyond| Although profits were "  squeezed "  in 1989 , mainly as a result of higher raw-material costs, the company  said  it is  confident  about future  earnings  and cash  flow for 1990 and beyond .
46|78|8|./wsj_0762_orig.tml.xml|1989-10-27T00:00:00.000000000|[RANGE,1989-01-01T00:00:00+00:00,1990-01-01T00:00:00+00:00]|1989| Although profits were "  squeezed "  in 1989 , mainly as a result of higher raw-material costs, the company  said  it is  confident  about future  earnings  and cash  flow for 1990 and beyond .
48|79|8|./wsj_0762_orig.tml.xml|1989-10-27T00:00:00.000000000|[INSTANT,1989-10-26T00:00:00+00:00]|yesterday| In national over-the-counter  trading yesterday ,  Cambrex  shares  rose 50 cents  to  close  at  $13  a share .
49|80|9|./wsj_0661_orig.tml.xml|1989-10-30T00:00:00.000000000|[RANGE,NOW,x]|as soon as possible| A unit of  DPC Acquisition Partners launched  a $10-a-share tender  offer  for the shares outstanding of  Dataproducts Corp. , and  said  it  would seek to liquidate  the computer-printer maker " as soon as possible ," even  if  a  merger  is  n't consummated .
50|88|9|./wsj_0661_orig.tml.xml|1989-10-30T00:00:00.000000000|[RANGE,1989-01-01T00:00:00+00:00,1990-01-01T00:00:00+00:00]|Earlier this year| Earlier this year ,  DPC Acquisition made  a $15-a-share  offer  for  Dataproducts , which the  Dataproducts  board  said  it  rejected  because the  $283.7 million  offer was  not  fully  financed .
51|91|10|./VOA19980303.1600.2745.tml.xml|1998-03-03T00:00:00.000000000|[RANGE,1997-01-01T00:00:00+00:00,1998-01-01T00:00:00+00:00]|the past year| A new report
  says  there has been a dramatic  rise  in the  growth  of hate groups in the
  United States over the past year .
52|95|10|./VOA19980303.1600.2745.tml.xml|1998-03-03T00:00:00.000000000|[RANGE,x,NOW]|More recently| More recently  it has  followed  the  growth  of the militia movement and church
 groups that preach a message of white supremacy and anti-semitism.
53|96|10|./VOA19980303.1600.2745.tml.xml|1998-03-03T00:00:00.000000000|[RANGE,1997-01-01T00:00:00+00:00,1998-01-01T00:00:00+00:00]|last year| The new study written by  Mark Potach , who edits the  Southern Poverty Law
 Center 's Intelligence Report,  warns  that such groups  grew  rapidly  last
 year , mostly by  recruiting  younger members.
55|98|10|./VOA19980303.1600.2745.tml.xml|1998-03-03T00:00:00.000000000|[RANGE,1997-01-01T00:00:00+00:00,1998-01-01T00:00:00+00:00]|this year| We in fact have  seen  hate group numbers  dropping through the nineties , uh but
  this year  they  jumped  up uh  twenty percent , quite a dramatic  rise .
54|98|10|./VOA19980303.1600.2745.tml.xml|1998-03-03T00:00:00.000000000|[INSTANT,2011-07-18T00:00:00+00:00]|the nineties| We in fact have  seen  hate group numbers  dropping through the nineties , uh but
  this year  they  jumped  up uh  twenty percent , quite a dramatic  rise .
56|102|10|./VOA19980303.1600.2745.tml.xml|1998-03-03T00:00:00.000000000|[PERIOD,1,0,0,0]|a year| Uh, there are over  fifty thousand  CDs  a year sold  with uh lyrics that are quite uh unbelievable.
57|105|10|./VOA19980303.1600.2745.tml.xml|1998-03-03T00:00:00.000000000|[RANGE,2000-01-01T00:00:00+00:00,2001-01-01T00:00:00+00:00]|the year two thousand| The  approach  of  the year two thousand  has many of these groups in a kind of
  millennial frenzy .
58|108|10|./VOA19980303.1600.2745.tml.xml|1998-03-03T00:00:00.000000000|[RANGE,1997-01-01T00:00:00+00:00,1998-01-01T00:00:00+00:00]|last year| The  Federal Bureau of Investigation says 
 it  received more than eight thousand reports  of hate group  crimes last
 year .
60|109|10|./VOA19980303.1600.2745.tml.xml|1998-03-03T00:00:00.000000000|[RANGE,x,NOW]|the past| Law enforcement authorities  say  such reports are likely to  increase 
 as police departments are  now beginning  to more accurately  report  hate
  crimes  than they  have in the past .
59|109|10|./VOA19980303.1600.2745.tml.xml|1998-03-03T00:00:00.000000000|[INSTANT,NOW]|now| Law enforcement authorities  say  such reports are likely to  increase 
 as police departments are  now beginning  to more accurately  report  hate
  crimes  than they  have in the past .
61|111|11|./wsj_0650_orig.tml.xml|1989-10-30T00:00:00.000000000|[INSTANT,1999-10-15T00:00:00+00:00]|Oct. 15, 1999| Sun Microsystems Inc. , a computer maker,  announced  the  effectiveness  of its registration statement for  $125 million  of  6 3/8%  convertible subordinated debentures  due Oct. 15, 1999 .
63|119|13|./wsj_0127_orig.tml.xml|1989-11-02T00:00:00.000000000|[INSTANT,1989-10-01T00:00:00+00:00]|Oct. 1| Reed International PLC said  that net  income for the  six  months ended Oct. 1 slipped 5%  to # 89.7 million  ( $141.9 million ), or  16 pence  a share, from # 94.8 million  ( $149.9 million ), or  17.3 pence  a share.
62|119|13|./wsj_0127_orig.tml.xml|1989-11-02T00:00:00.000000000|[PERIOD,0,6,0,0]|the six months| Reed International PLC said  that net  income for the  six  months ended Oct. 1 slipped 5%  to # 89.7 million  ( $141.9 million ), or  16 pence  a share, from # 94.8 million  ( $149.9 million ), or  17.3 pence  a share.
65|121|13|./wsj_0127_orig.tml.xml|1989-11-02T00:00:00.000000000|[RANGE,1998-01-01T00:00:00+00:00,1999-01-01T00:00:00+00:00]|1988| While there were no one-time  gains  or  losses  in  the latest period , there was a one-time  gain  of # 18 million  in the  1988  period.
64|121|13|./wsj_0127_orig.tml.xml|1989-11-02T00:00:00.000000000|[RANGE,1989-07-01T00:00:00+00:00,1989-10-01T00:00:00+00:00]|the latest period| While there were no one-time  gains  or  losses  in  the latest period , there was a one-time  gain  of # 18 million  in the  1988  period.
67|122|13|./wsj_0127_orig.tml.xml|1989-11-02T00:00:00.000000000|[RANGE,1988-01-01T00:00:00+00:00,1989-01-01T00:00:00+00:00]|last year| And while there was no  profit this year  from discontinued  operations ,  last year  they  contributed  # 34 million ,  before tax .
66|122|13|./wsj_0127_orig.tml.xml|1989-11-02T00:00:00.000000000|[RANGE,1989-01-01T00:00:00+00:00,1990-01-01T00:00:00+00:00]|this year| And while there was no  profit this year  from discontinued  operations ,  last year  they  contributed  # 34 million ,  before tax .
68|123|13|./wsj_0127_orig.tml.xml|1989-11-02T00:00:00.000000000|[INSTANT,1989-11-01T00:00:00+00:00]|yesterday| Pretax profit  fell 3.7%  to # 128 million  from # 133 million  and was  below  analysts' expectations of # 130 million  to # 135 million , but shares  rose 6 pence to 388 pence in  early  trading yesterday  in  London .
69|124|13|./wsj_0127_orig.tml.xml|1989-11-02T00:00:00.000000000|[INSTANT,1988-11-02T00:00:00+00:00]|a year earlier| Reed   is  paying  an interim dividend of  4.6 pence ,  up 15%  from  4 pence a year earlier .
70|130|14|./wsj_0332_orig.tml.xml|1989-11-01T00:00:00.000000000|[INSTANT,1989-10-25T00:00:00+00:00]|last Wednesday| Orkem  and  Coates said last Wednesday  that the  two  were  considering  a  merger , through  Orkem 's British subsidiary,  Orkem Coatings U.K. Ltd. 

   Orkem ,  France 's third-largest chemical group,  said  it  would fund  the  acquisition  through internal resources.
71|133|15|./wsj_0313_orig.tml.xml|1989-11-01T00:00:00.000000000|[RANGE,1989-07-01T00:00:00+00:00,1989-10-01T00:00:00+00:00]|the third quarter| Ocean Drilling amp Exploration Co.  will  sell  its contract-drilling business, and  took  a  $50.9 million loss  from discontinued  operations in the third quarter  because of the  planned sale .
73|135|15|./wsj_0313_orig.tml.xml|1989-11-01T00:00:00.000000000|[PERIOD,1,0,0,0]|a year ago| In the third quarter , the company, which is  61% -owned by  Murphy Oil Corp.  of  Arkansas ,  had  a net  loss  of  $46.9 million , or  91 cents  a share, compared with a restated  loss  of  $9 million , or  18 cents  a share,  a year ago .
72|135|15|./wsj_0313_orig.tml.xml|1989-11-01T00:00:00.000000000|[RANGE,1989-07-01T00:00:00+00:00,1989-10-01T00:00:00+00:00]|the third quarter| In the third quarter , the company, which is  61% -owned by  Murphy Oil Corp.  of  Arkansas ,  had  a net  loss  of  $46.9 million , or  91 cents  a share, compared with a restated  loss  of  $9 million , or  18 cents  a share,  a year ago .
74|136|15|./wsj_0313_orig.tml.xml|1989-11-01T00:00:00.000000000|[RANGE,1989-07-01T00:00:00+00:00,1989-10-01T00:00:00+00:00]|The latest period| The latest period had profit  from continuing  operations  of  $4 million .
75|138|15|./wsj_0313_orig.tml.xml|1989-11-01T00:00:00.000000000|[RANGE,NOW,x]|the near future| Ocean Drilling said  it will  offer 15%  to  20%  of the contract-drilling business through an initial public  offering in the near future .
77|141|16|./wsj_0752_orig.tml.xml|1989-10-27T00:00:00.000000000|[INSTANT,1989-11-22T00:00:00+00:00]|Nov. 22| AEP INDUSTRIES Inc.  directors  authorized  a 3-for- 2 split  of the common,  payable Dec. 7  to stock of  record Nov. 22 .
76|141|16|./wsj_0752_orig.tml.xml|1989-10-27T00:00:00.000000000|[INSTANT,1989-12-07T00:00:00+00:00]|Dec. 7| AEP INDUSTRIES Inc.  directors  authorized  a 3-for- 2 split  of the common,  payable Dec. 7  to stock of  record Nov. 22 .
78|144|16|./wsj_0752_orig.tml.xml|1989-10-27T00:00:00.000000000|[INSTANT,1989-10-26T00:00:00+00:00]|yesterday| In national over-the-counter  trading yesterday ,  AEP  shares  closed at  $21.25 , down  50 cents .
79|145|17|./wsj_0527_orig.tml.xml|1989-10-30T00:00:00.000000000|[INSTANT,1989-12-07T00:00:00+00:00]|Dec. 7| Crossland Savings Bank 's stock  plummeted after  management  recommended  a  suspension  of dividend payments on both its common and preferred stock because  Crossland may not meet  the new government capital  criteria effective Dec. 7 .
80|146|17|./wsj_0527_orig.tml.xml|1989-10-30T00:00:00.000000000|[INSTANT,1989-10-27T00:00:00+00:00]|Friday| In composite trading on the  New York Stock Exchange Friday ,  Crossland closed  at  $5.25 , down  $1.875 , a  26%  decline.
81|147|17|./wsj_0527_orig.tml.xml|1989-10-30T00:00:00.000000000|[RANGE,1989-01-01T00:00:00+00:00,1990-01-01T00:00:00+00:00]|1989| A spokesman  said  the savings bank  may not qualify  for the capital  requirements  because, under the proposed guidelines, its  $380 million  of preferred stock does  n't meet  the "core capital"  criteria  outlined under the new  Financial Institutions Reform ,  Recovery  and Enforcement Act of  1989 .
82|148|17|./wsj_0527_orig.tml.xml|1989-10-30T00:00:00.000000000|[RANGE,1989-11-01T00:00:00+00:00,1989-12-01T00:00:00+00:00]|early November| He  added  that final guidelines to be  published in early November  will  determine  whether the bank is in  compliance .
84|151|17|./wsj_0527_orig.tml.xml|1989-10-30T00:00:00.000000000|[RANGE,1988-07-01T00:00:00+00:00,1988-10-01T00:00:00+00:00]|a year ago| Additionally,  Crossland reported  a  third-quarter loss  of  $175.5 million , or  $13.44  a share, compared with net  income  of  $27.1 million , or  $1.16  a share,  a year ago .
83|151|17|./wsj_0527_orig.tml.xml|1989-10-30T00:00:00.000000000|[RANGE,1989-07-01T00:00:00+00:00,1989-10-01T00:00:00+00:00]|third - quarter| Additionally,  Crossland reported  a  third-quarter loss  of  $175.5 million , or  $13.44  a share, compared with net  income  of  $27.1 million , or  $1.16  a share,  a year ago .
85|152|17|./wsj_0527_orig.tml.xml|1989-10-30T00:00:00.000000000|[RANGE,1989-07-01T00:00:00+00:00,1989-10-01T00:00:00+00:00]|third - quarter| A major factor in the  third-quarter loss  was the  write-down  of  $143.6 million  of goodwill.
86|154|17|./wsj_0527_orig.tml.xml|1989-10-30T00:00:00.000000000|[RANGE,1989-07-01T00:00:00+00:00,1989-10-01T00:00:00+00:00]|the third quarter| Crossland recorded  an additional  $20 million  in loan loss  reserves in the third quarter .
88|155|17|./wsj_0527_orig.tml.xml|1989-10-30T00:00:00.000000000|[RANGE,1988-07-01T00:00:00+00:00,1988-10-01T00:00:00+00:00]|a year ago| Net interest  income  for  the third quarter  declined  to $35.6 million from $70.1 million a year ago .
87|155|17|./wsj_0527_orig.tml.xml|1989-10-30T00:00:00.000000000|[RANGE,1989-07-01T00:00:00+00:00,1989-10-01T00:00:00+00:00]|the third quarter| Net interest  income  for  the third quarter  declined  to $35.6 million from $70.1 million a year ago .
90|157|17|./wsj_0527_orig.tml.xml|1989-10-30T00:00:00.000000000|[RANGE,1988-07-01T00:00:00+00:00,1988-10-01T00:00:00+00:00]|a year ago| Third-quarter  loan originations  dropped  sharply  to $663 million from $1 billion a year ago .
89|157|17|./wsj_0527_orig.tml.xml|1989-10-30T00:00:00.000000000|[RANGE,1989-07-01T00:00:00+00:00,1989-10-01T00:00:00+00:00]|Third - quarter| Third-quarter  loan originations  dropped  sharply  to $663 million from $1 billion a year ago .
92|164|18|./wsj_0263_orig.tml.xml|1989-11-01T00:00:00.000000000|[INSTANT,1989-11-16T00:00:00+00:00]|Nov. 16| The split and quarterly dividend will be  payable Jan. 3  to stock of record  Nov. 16 , the company  said .
91|164|18|./wsj_0263_orig.tml.xml|1989-11-01T00:00:00.000000000|[INSTANT,1990-01-03T00:00:00+00:00]|Jan. 3| The split and quarterly dividend will be  payable Jan. 3  to stock of record  Nov. 16 , the company  said .
94|166|18|./wsj_0263_orig.tml.xml|1989-11-01T00:00:00.000000000|[INSTANT,1989-08-26T00:00:00+00:00]|Aug. 26| Separately,  UniFirst reported  that net income  rose 21%  to  $3 million , or  29 cents  a share adjusted for the  split ,  for the fourth quarter ended Aug. 26 .
93|166|18|./wsj_0263_orig.tml.xml|1989-11-01T00:00:00.000000000|[RANGE,1989-10-01T00:00:00+00:00,1990-01-01T00:00:00+00:00]|the fourth quarter| Separately,  UniFirst reported  that net income  rose 21%  to  $3 million , or  29 cents  a share adjusted for the  split ,  for the fourth quarter ended Aug. 26 .
