DATE	2003-02-22T15:30	2003-02-23	vers 15 h 30, hier
DATE	2003-02-22T15:30	2003-02-23	ce moment là
DATE	2003-02-22TAF	2003-02-23	hier après-midi
DURATION	P25Y	2003-02-23	un quart de siècle
DATE	2003-02-22	2003-02-23	hier
DATE	2002	2003-02-23	la fin de l'année dernière
DATE	2003-02-21	2003-02-23	vendredi
DATE	2003-02-21	2003-02-23	vendredi
TIME	2003-02-21T17:00	2003-02-23	17 h
TIME	2003-02-21T12:00	2003-02-23	midi
DURATION	P12Y	2003-02-23	douze ans
DATE	2003-02-22TEV	2003-02-23	Hier soir
DATE	2003-02-22TNI	2003-02-23	la nuit
DATE	2003-04-06	2003-02-24	6
DATE	2003-04-13	2003-02-24	13 avril
DATE	2002-12-20	2003-02-24	le 20 décembre dernier
DURATION	P3Y	2003-02-24	trois ans
